"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2023","40.8453","40.6228","40.9692","40.4455","","0.55%"
"05/02/2023","40.6219","40.5257","40.6578","40.2225","","0.23%"
"05/01/2023","40.5307","40.7348","40.7602","40.3481","","-0.33%"
"04/28/2023","40.6638","40.7324","40.7790","40.3101","","-0.14%"
"04/27/2023","40.7227","40.7804","40.8618","40.4821","","-0.12%"
"04/26/2023","40.7707","40.5219","40.9799","40.3409","","0.62%"
"04/25/2023","40.5196","40.7952","40.8746","40.3718","","-0.62%"
"04/24/2023","40.7744","40.5922","40.8138","40.3079","","0.49%"
"04/21/2023","40.5750","40.4981","40.6050","40.2068","","0.26%"
"04/20/2023","40.4682","40.4628","40.5738","40.2096","","0.04%"
"04/19/2023","40.4531","40.5219","40.5681","40.1861","","-0.16%"
"04/18/2023","40.5159","40.1473","40.5496","40.1381","","1.40%"
"04/17/2023","39.9549","40.5885","40.6156","40.0904","","-1.64%"
"04/14/2023","40.6193","40.7841","40.9079","40.4700","","-0.38%"
"04/13/2023","40.7744","40.5467","40.8783","40.3750","","0.72%"
"04/12/2023","40.4846","40.2507","40.6059","40.1048","","0.70%"
"04/11/2023","40.2016","40.1194","40.3580","39.9567","","0.25%"
"04/10/2023","40.1023","40.2160","40.3020","39.9160","","-0.13%"
"04/07/2023","40.1554","40.2934","40.3272","39.8535","","-0.22%"
"04/06/2023","40.2439","40.2203","40.3671","39.9948","","0.18%"
"04/05/2023","40.1716","40.2520","40.4963","40.1155","","0.30%"
"04/04/2023","40.0499","40.0444","40.4628","39.9933","","0.52%"
"04/03/2023","39.8415","40.0494","40.1843","39.6702","","-0.41%"
"03/31/2023","40.0067","40.2782","40.3539","39.8751","","-0.62%"
"03/30/2023","40.2574","40.0490","40.3558","39.7691","","0.55%"
"03/29/2023","40.0378","39.9991","40.1525","39.7471","","0.26%"
"03/28/2023","39.9359","39.8768","40.0652","39.6995","","0.17%"
"03/27/2023","39.8685","39.7553","39.8879","39.4874","","0.37%"
"03/24/2023","39.7222","39.9911","40.0299","39.4731","","-0.67%"
"03/23/2023","39.9898","40.0882","40.3633","39.8566","","-0.22%"
"03/22/2023","40.0767","39.7613","40.3004","39.5418","","0.81%"
"03/21/2023","39.7555","39.5968","39.8454","39.3451","","0.43%"
"03/20/2023","39.5853","39.5063","39.6338","39.0905","","0.50%"
"03/17/2023","39.3895","39.1860","39.4657","39.0469","","0.56%"
"03/16/2023","39.1685","38.8739","39.2822","38.8173","","1.29%"
"03/15/2023","38.6713","39.5752","39.7033","38.6460","","-2.11%"
"03/14/2023","39.5056","39.5768","39.6940","39.2522","","-0.03%"
"03/13/2023","39.5160","39.3191","39.6792","39.1428","","0.54%"
"03/10/2023","39.3035","39.0629","39.5223","38.8573","","0.69%"
"03/09/2023","39.0349","38.9442","39.0999","38.7405","","0.25%"
"03/08/2023","38.9379","38.9588","39.0532","38.6972","","0.00%"
"03/07/2023","38.9395","39.4335","39.4982","38.9440","","-1.19%"
"03/06/2023","39.4093","39.2175","39.4870","39.0426","","0.37%"
"03/03/2023","39.2629","39.0933","39.2933","38.9425","","0.58%"
"03/02/2023","39.0367","39.3967","39.4188","38.9596","","-0.90%"
"03/01/2023","39.3922","39.0588","39.4917","38.9036","","0.86%"
"02/28/2023","39.0561","38.9749","39.3172","38.8736","","0.69%"
"02/27/2023","38.7883","38.7416","39.1161","38.7085","","0.58%"
"02/24/2023","38.5652","38.9455","39.1753","38.7196","","-0.46%"
"02/23/2023","38.7444","38.9694","39.0614","38.8702","","-0.06%"
"02/22/2023","38.7664","39.1256","39.3863","38.9510","","-0.42%"
"02/21/2023","38.9309","39.4495","39.4947","39.0925","","-1.22%"
"02/20/2023","39.4112","39.2731","39.5370","39.2127","","0.80%"
"02/17/2023","39.0973","39.4207","39.4684","38.9938","","-0.76%"
"02/16/2023","39.3959","39.4776","39.6017","39.2207","","-0.19%"
"02/15/2023","39.4691","39.4568","39.6530","39.2528","","0.57%"
"02/14/2023","39.2472","39.5932","39.8156","39.3410","","-0.83%"
"02/13/2023","39.5766","39.2400","39.6245","39.1518","","1.39%"
"02/10/2023","39.0351","39.6577","39.7150","39.1904","","-1.55%"
"02/09/2023","39.6480","39.3645","39.8609","39.3572","","1.24%"
"02/08/2023","39.1613","39.4196","39.7274","39.3572","","-0.16%"
"02/07/2023","39.2235","39.4233","39.7237","39.2028","","-0.04%"
"02/06/2023","39.2381","39.8520","39.8870","39.3572","","-1.57%"
"02/03/2023","39.8629","40.0922","40.4078","39.8249","","-0.08%"
"02/02/2023","39.8963","40.5898","40.7542","40.0040","","-1.70%"
"02/01/2023","40.5851","40.1224","40.6323","39.9090","","1.18%"
"01/31/2023","40.1123","39.8683","40.1648","39.6902","","1.18%"
"01/30/2023","39.6457","40.1644","40.2651","39.8261","","-1.22%"
"01/27/2023","40.1362","40.2100","40.2450","39.8635","","-0.11%"
"01/26/2023","40.1804","40.1216","40.3626","39.9410","","0.67%"
"01/25/2023","39.9146","40.1897","40.3098","39.8974","73.25K","-0.57%"
"01/24/2023","40.1435","40.1423","40.2498","39.8749","69.93K","0.01%"
"01/23/2023","40.1412","40.0919","40.3410","39.9399","72.10K","0.22%"
"01/20/2023","40.0513","39.9922","40.1076","39.6902","77.67K","0.25%"
"01/19/2023","39.9516","39.6549","40.0199","39.6236","103.06K","1.23%"
"01/18/2023","39.4648","39.6549","40.0168","39.5648","110.02K","0.04%"
"01/17/2023","39.4502","39.7654","39.9488","39.5979","109.13K","-0.24%"
"01/16/2023","39.5433","39.8096","39.9584","39.6883","66.66K","-0.11%"
"01/13/2023","39.5872","39.8680","39.9434","39.6093","98.07K","-0.21%"
